Battle Squadron -- stage 0 (surface / level 1) wave tables, dumped from re/trace/chip_2700.bin
Source: stage descriptor $14EA + stage*$8C: +0 = main list ($D00A), +4 = restart list ($CFCE, used by LAB_9D7E when the
level wraps: progress 7206 := 1, list := desc+4).  LAB_7556 ($CDA, once per game frame, after the hostile passes):
    while (progress7206 >= entry.trigger) { if (g7222 == 0) break;  pop entry; spawn }      (V: trace PC $755E/$7564 and objlog)
Entry = 12 bytes {trigger.w, x.w, y.w, type.b, pad.b, script.l}.  x == $FFFF => clear the whole hostile pool (no spawn).
Trigger $FFFF terminates (never reached).  Spawn (LAB_75E4/7608): x < $320 ? x + scroll7204 : x - 1000 + 256 ;  y + 256.
Screen position = (x - scroll7204, y - 256).  Type 6 ignores x: x := rnd&$7f + $40, type := 6.  Types 8 and 1: x += rnd + (rnd&$7f) - $40.
Hub re-entry points after an underground stage (LAB_7260): stage1 -> list $D3BE progress 3744, stage2 -> $D562 progress 5152,
stage3 -> $D796 progress 7536.  'script' is +12 of the new record: type 0/3/D = script pointer, type 1 = vx (16.16), type 8 = vy (16.16).

== restart list (desc+4) at $0CFCE
  addr    trig     x     y  type  script    name
  0CFCE     40     0   -32   01  00000000  aimed bullet-drone
  0CFDA     80     0   -32   01  00000000  aimed bullet-drone
  0CFE6    120     0   -32   01  00000000  aimed bullet-drone
  0CFF2    200   180   -32   08  00010000  homing missile
  0CFFE    250    70   -32   08  00010000  homing missile
  0D00A    330     0   -32   01  00000000  aimed bullet-drone
  0D016    360     0   -32   01  00000000  aimed bullet-drone
  0D022    390     0   -32   01  00000000  aimed bullet-drone
  0D02E    500   288    20   00  0000e96c  plane (scripted wave)
  0D03A    500   328    20   00  0000e97e  plane (scripted wave)
  0D046    500   368    20   00  0000e990  plane (scripted wave)
  0D052    500   408    20   00  0000e9a2  plane (scripted wave)
  0D05E    650     0   -32   01  00000000  aimed bullet-drone
  0D06A    675     0   -32   01  00000000  aimed bullet-drone
  0D076    700     0   -32   01  00000000  aimed bullet-drone
  0D082    725     0   -32   01  00000000  aimed bullet-drone
  0D08E    800     0   -44   06  00000000  bomber
  0D09A    950   200   -32   04  00000000  swooping fighter
  0D0A6    975   170   -32   04  00000000  swooping fighter
  0D0B2   1025    60   -32   04  00000000  swooping fighter
  0D0BE   1050   100   -32   04  00000000  swooping fighter
  0D0CA   1200     0   -32   01  00000000  aimed bullet-drone
  0D0D6   1230     0   -32   01  00000000  aimed bullet-drone
  0D0E2   1260     0   -32   01  00000000  aimed bullet-drone
  0D0EE   1290     0   -32   01  00000000  aimed bullet-drone
  0D0FA   1320     0   -32   01  00000000  aimed bullet-drone
  0D106   1450   -32    20   00  0000e924  plane (scripted wave)
  0D112   1450   -72    20   00  0000e936  plane (scripted wave)
  0D11E   1450  -112    20   00  0000e948  plane (scripted wave)
  0D12A   1450  -152    20   00  0000e95a  plane (scripted wave)
  0D136   1600    50   -32   04  00000000  swooping fighter
  0D142   1625    90   -32   04  00000000  swooping fighter
  0D14E   1675   200   -32   04  00000000  swooping fighter
  0D15A   1700   150   -32   04  00000000  swooping fighter
  0D166   1800     0   -44   06  00000000  bomber
  0D172   2000    70   -32   08  00010000  homing missile
  0D17E   2050   200   -32   08  00010000  homing missile
  0D18A   2300     0   -32   01  00000000  aimed bullet-drone
  0D196   2325     0   -32   01  00000000  aimed bullet-drone
  0D1A2   2350     0   -32   01  00000000  aimed bullet-drone
  0D1AE   2375     0   -32   01  00000000  aimed bullet-drone
  0D1BA   2400     0   -32   01  00000000  aimed bullet-drone
  0D1C6   2484  1272   100   03  0002e768  ground pop-up (scripted)
  0D1D2   2600   200   -32   04  00000000  swooping fighter
  0D1DE   2620    30   -32   04  00000000  swooping fighter
  0D1EA   2650   150   -32   04  00000000  swooping fighter
  0D1F6   2670   100   -32   04  00000000  swooping fighter
  0D202   2700   180   -32   04  00000000  swooping fighter
  0D20E   2720    80   -32   04  00000000  swooping fighter
  0D21A   2850   288    20   00  0000e96c  plane (scripted wave)
  0D226   2850   328    20   00  0000e97e  plane (scripted wave)
  0D232   2850   368    20   00  0000e990  plane (scripted wave)
  0D23E   2850   408    20   00  0000e9a2  plane (scripted wave)
  0D24A   3000    40   -32   08  00010000  homing missile
  0D256   3040   180   -32   08  00010000  homing missile
  0D262   3080   100   -32   08  00010000  homing missile
  0D26E   3250     0   -32   01  00000000  aimed bullet-drone
  0D27A   3280     0   -32   01  00000000  aimed bullet-drone
  0D286   3310     0   -32   01  00000000  aimed bullet-drone
  0D292   3340     0   -32   01  00000000  aimed bullet-drone
  0D29E   3500   -32    20   00  0000e924  plane (scripted wave)
  0D2AA   3500   -72    20   00  0000e936  plane (scripted wave)
  0D2B6   3500  -112    20   00  0000e948  plane (scripted wave)
  0D2C2   3500  -152    20   00  0000e95a  plane (scripted wave)
